plane,gene,assection_data_set_id
coronal,Cux1,79556618
coronal,Cux2,72128748
coronal,Cwc25,73929874
coronal,Cwh43,74819236
coronal,Cx3cl1,2135
coronal,Cx3cr1,1605
coronal,Cxcl12,308
coronal,Cxcl12,79907936
coronal,Cxcl13,74819234
coronal,Cxcl14,74272041
coronal,Cyb5,75043146
coronal,Cyb561,71020402
coronal,Cyb5r1,74988452
coronal,Cyc1,357103
coronal,Cyfip1,74819653
coronal,Cygb,72103830
coronal,Cyhr1,77414565
coronal,Cyld,73992938
coronal,Cyp26b1,72081548
coronal,Cyp26b1,79568022
coronal,Cyp27a1,70634300
coronal,Cyp2j6,77278979
coronal,Cyp39a1,71836847
coronal,Cyp39a1,77874608
coronal,Cyp46a1,70613977
coronal,Cyp4f15,1189
coronal,Cyp4v3,74882196
coronal,Cyp51,75934914
coronal,Cyp7b1,70927813
coronal,Cyr61,1191
coronal,Cyr61,80343407
coronal,Cysltr1,75651227
coronal,Cytip,1270
coronal,D030063F01Rik,73931628
coronal,D0H4S114,72472773
coronal,D10Bwg1379e,75988646
coronal,D11Ertd759e,74881365
coronal,D11Wsu47e,74819575
